uuid,Void/Retire,Fully specified name:en,Short name:en,Fully specified name:fr,Short name:fr,Description:en,Data class,Data type,Answers,Members,id,Mappings|SAME-AS|PIH,Mappings|NARROWER-THAN|PIH,Mappings|SAME-AS|CBS,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|NARROWER-THAN|Rwanda HMIS Report 2012 01 20,Mappings|NARROWER-THAN|RWCS,Mappings|SAME-AS|RxNORM,Mappings|NARROWER-THAN|RxNORM,Mappings|SAME-AS|SNOMED CT,Mappings|NARROWER-THAN|SNOMED CT,Mappings|SAME-AS|ICPC-2,Mappings|NARROWER-THAN|LOINC,Mappings|SAME-AS|ICD-10,Mappings|NARROWER-THAN|ICD-10,Mappings|BROADER-THAN|ICD-10,Absolute high,Critical high,Normal high,Absolute low,Normal low,Units,Allow decimals,Complex data handler
2a5a5c6f-1caf-467c-9bff-92778e300f48,, HYDROXYCHLOROQUINE,, HYDROXYCHLOROQUINE,, HYDROXYCHLOROQUINE,Drug,Text,,,9046.0,,,,,,,,,,,,,,,,,,,,,,,,
d80ecde6-825b-4cfc-8dc0-1c594a3d0c2f,, INDUCTION OF LABOUR,,,,Stimulation of uterine contractions prior to theonset of spontaneous labor for vaginal delivery after the ageof viability,Diagnosis,Text,,,11673.0,,,,,,,,,,,,,,,,,,,,,,,,
b51fdeff-9df0-4d75-b340-d5cdf22bf3c4,, Liver cell carcinoma,Carcinoma (HNPCC,,, Liver cell carcinoma,Diagnosis,Text,,,12349.0,,,,,,,,,,,,,,,,,,,,,,,,
1dffd5e5-8f88-4bff-9af7-f2bb52888386,, Malignant neoplasm of small intestine,,,, Malignant neoplasm of small intestine,Diagnosis,Text,,,12323.0,,,,,,,,,,,,,C17,,,,,,,,,,,
71eb0177-e95a-4f92-8814-05addc0533c9,, Maxillary and mandibular microgenia,,,,,Diagnosis,Coded,Mandibular micrognathism;Maxillary micrognathism,,12022.0,,,,,,,,,,,,,,,,,,,,,,,,
eb1c3da4-a8be-46cd-a154-b9d064dcc466,, NOT NECESSARY,,,, NOT NECESSARY,Misc,Text,,,11031.0,,,,,,,,,,,,,,,,,,,,,,,,
cc2c1ed3-8c9c-482f-a43b-20f268d3a75d,, Neonatal tooth,,,,,Diagnosis,Text,,,11740.0,,,,,,,,,,,,,,,,,,,,,,,,
94d1503d-315d-49fe-85c9-7cf0be60d8b3,, Recurrent dislocation of the temporomandibular joint,,,,,Diagnosis,Coded,Current (acute) dislocation of TMJ,,12033.0,,,,,,,,,,,,,,,,,,,,,,,,
02d68a86-d160-4e2c-86e2-44b0111c6205,, Rubella without complication,,,,,Diagnosis,Text,,,12585.0,,,,,,,,,,,,,,,B06.9,,,,,,,,,
9127e64f-358e-4838-8c50-02f31eb338b4,, Secondary malignant neoplasm of small intestine,,,, Secondary malignant neoplasm of small intestine,Diagnosis,Text,,,12324.0,,,,,,,,,,,,,C78.4,,,,,,,,,,,
fc9ddb13-64a6-4bb2-8a73-0817e5c3e27a,, Shell teeth,,,,,Diagnosis,Text,,,11738.0,,,,,,,,,,,,,,,,,,,,,,,,
c0cd0a7f-0e3f-4149-afbd-bf03b3c8b005,, Unspecified appendicitis,,,, Unspecified appendicitis,Diagnosis,Text,,,12327.0,,,,,,,,,,,,,,,K37,,,,,,,,,
51f82965-ca08-4af5-b887-e4b908900d49,, Volvulus,,,,rotation of segment of bowel about its mesentery,Diagnosis,Text,,,12340.0,,,,,,,,,,,,,,,K56.2,,,,,,,,,
d602c411-e24e-4cc5-bc52-163b80a6ced0,,"""Sonde gastrique type LEVIN CH14 -125 cm  pvc unité UU""",,Sonde gastrique type LEVIN CH14 -125 cm  pvc unité UU,,,Misc,Text,,,7620.0,,,,,,,,,,,,,,,,,,,,,,,,
36f7addd-ca23-4948-9ed7-fa9fd7445582,,%,,,,%,Units of Measure,Numeric,,,111472.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
5440935a-1dbb-4bea-a040-1a5d77a64690,,(-)Eligible PF relative,,,,(-)Eligible PF relative,Misc,Text,,,13536.0,,,,,,,,,,,,,,,,,,,,,,,,
1abc6b6f-39c9-4d32-8175-be6ac030f3f1,,(CHARBON ACTIVE) ACTIVATED CHARCOAL,,(CHARBON ACTIVE) ACTIVATED CHARCOAL,,(CHARBON ACTIVE) ACTIVATED CHARCOAL,Drug,Text,,,9006.0,,,,,,,,,,,,,,,,,,,,,,,,
b8e51c66-7330-485f-a479-ad758496906b,,(CSB)Specialized nutritious foods Nutrition,,,,Specialized nutritious foods Nutrition,Question,Boolean,,,13324.0,,,,,,,,,,,,,,,,,,,,,,,,
aa8ccd2e-3a62-4469-a327-ad98943de94b,,(HYDROX. D'AL.) AL. +  MG. TRISIL. HYDROXYDE,,(HYDROX. D'AL.) AL. +  MG. TRISIL. HYDROXYDE,,(HYDROX. D'AL.) AL. +  MG. TRISIL. HYDROXYDE,Drug,Text,,,9154.0,,,,,,,,,,,,,,,,,,,,,,,,
080b3bc4-930e-4fd2-a24e-9efef67c3b22,,(OUATE HYDROPH.) HYDROPHIL   ,,(OUATE HYDROPH.) HYDROPHIL   ,,(OUATE HYDROPH.) HYDROPHIL,Drug,Text,,,8943.0,,,,,,,,,,,,,,,,,,,,,,,,
7ccb4cfc-aec7-4e11-a75e-f0e9b1adb9a9,,+ Below the ankle (pitting pedal oedema),,,,+ Below the ankle (pitting pedal oedema),Misc,Text,,,13380.0,,,,,,,,,,,,,,,,,,,,,,,,
9752efbf-dc2e-4f0d-b0b0-3657182ab971,,++ (Pitting oedema below the knee),,,,++ (Pitting oedema below the knee),Misc,Text,,,13381.0,,,,,,,,,,,,,,,,,,,,,,,,
2581878a-88ce-4afc-b569-243bd8df22c6,,+++(Generalised oedema),,,,+++(Generalised oedema),Misc,Text,,,13382.0,,,,,,,,,,,,,,,,,,,,,,,,
a44c9058-d632-4f0c-870c-c7f1454d96c1,,+Eligible PF,,,,+Eligible PF,Misc,Text,,,13535.0,,,,,,,,,,,,,,,,,,,,,,,,
e9cd71fe-7346-4eac-affe-ad33c393ac8a,,-Non Eligible,,,,-Non Eligible,Misc,Text,,,13546.0,,,,,,,,,,,,,,,,,,,,,,,,
d3d37d2d-d1c1-43a4-b379-e4c75c851fb7,,0 (no oedema),,,,0 (no oedema),Misc,Text,,,13379.0,,,,,,,,,,,,,,,,,,,,,,,,
596daaf5-3d0b-4ddc-a848-1732d70b5962,,1,,,,"grading system, describing degree of finding",Finding,Numeric,,,3885.0,,1;3885,,,,,,,,,,,,,,,,,,,,,,
710b6f57-6902-4b13-8f71-17aa905533e6,,1 month,,,,1 month,State,Text,,,111454.0,,,,,,,,,,,,,,,,,,,,,,,,
3ce3cf9c-26fe-102b-80cb-0017a47871b2,,1-2 TIMES/WK,,,,,Misc,Text,,,2402.0,,1-2 TIMES/WK;2402,,,,,,,,,,,,,,,,,,,,,,
3ce10c3a-26fe-102b-80cb-0017a47871b2,,1-2 WEEKS AGO,,,,1-2 weeks ago,Misc,Text,,,2103.0,,1-2 WEEKS AGO;2103,,,,,,,,,,,,,,,,,,,,,,
3ce3d10e-26fe-102b-80cb-0017a47871b2,,1-3 TIMES/MO,,,,,Misc,Text,,,2403.0,,1-3 TIMES/MO;2403,,,,,,,,,,,,,,,,,,,,,,
cd406aff-4501-12f2-b0a0-b4ab48702199,,1/3 (Third) Tubular Plate 10 HOLES,,,,1/3 (Third) Tubular Plate 10 HOLES,Misc,Numeric,,,158532.0,,,,,,,,,,,,,,,,,,,,,,,,
7116431c-e290-b7b6-221b-0f971fb4d6f5,,1/3TUBULAR PLATE PLATE,,,,1/3TUBULAR PLATE PLATE,Misc,Numeric,,,158533.0,,,,,,,,,,,,,,,,,,,,,,,,
a35c8540-de27-4e5e-b6df-ba5e55d649c5,,1/day x 2 days/week,,,,,Frequency,Text,,,111431.0,,,,,,,,,,,,,,,,,,,,,,,,
6cdd6363-6b01-42b3-a6a1-f54e5b221c72,,1/day x 3 days/week,,,,,Frequency,Text,,,111432.0,,,,,,,,,,,,,,,,,,,,,,,,
62e28058-baa4-4b8b-8158-77acfa3a50f3,,1/day x 4 days/week,,,,,Frequency,Text,,,111433.0,,,,,,,,,,,,,,,,,,,,,,,,
8ca69946-09fd-4472-ae2c-f70599d513a9,,1/day x 5 days/week,,,,,Frequency,Text,,,111434.0,,,,,,,,,,,,,,,,,,,,,,,,
51f3a7e0-dafa-49d4-9139-90862a282546,,1/day x 6 days/week,,,,,Frequency,Text,,,111435.0,,,,,,,,,,,,,,,,,,,,,,,,
b02e4732-1726-4320-9b1c-939d3a6a0c72,,10 months,,,,10 months,State,Text,,,111531.0,,,,,,,,,,,,,,,,,,,,,,,,
73c1e8ae-3445-4405-877f-5da480579a56,,10/day x 2 days/week,,,,,Frequency,Text,,,111451.0,,,,,,,,,,,,,,,,,,,,,,,,
ccfc159c-1dc5-468e-9b82-7fb3da06c9f1,,11 months,,,,11 months,State,Text,,,111532.0,,,,,,,,,,,,,,,,,,,,,,,,
bf02d174-84b8-4eae-b115-3a9fe3b5a329,,12 months,,,,12 months,State,Text,,,111533.0,,,,,,,,,,,,,,,,,,,,,,,,
588ad048-1f74-4555-9199-78ae3b358d7e,,1st Line regimen,,Regime 1ere Ligne,,1st Line regimen,State,Text,,,11046.0,,,,,,,,,,,,,,,,,,,,,,,,
28b7cc34-9a6e-45ff-b426-e8ddada9c33c,,1st degree laceration/vaginal graze,,Déchirure du 1er  degré / écorchure vaginale,,1st degree laceration/vaginal graze,Diagnosis,Text,,,8181.0,,,,,,,,,,,,,,,O70.0,,,,,,,,,
bff8b23f-0d4b-4606-9e72-88c9b401f4d2,,2,,,,"grading system, describing degree of finding.",Finding,Numeric,,,3886.0,,2;3886,,,,,,,,,,,,,,,,,,,,,,
b74c9ffc-262b-4f08-b59f-676879330347,,2 HREZ / 6 HE,2HREZ/6HE,2 HREZ / 6 HE,,"TB initial treatment regimen, used by MSPP in Haiti",Misc,Text,,,6347.0,,2 HREZ / 6 HE;6347,,,,,,,,,,,,,,,,,,,,,,
3ce68106-26fe-102b-80cb-0017a47871b2,,2 HRZE 7 / 4 RH 3,,,," 2 months of rifampicin, isoniazid, pyrazinamide, and ethambutol 7 days a week follwed by 4 months of rifampicin and isoniazid 3 days a week",Misc,Text,,,2692.0,,2 HRZE 7 / 4 RH 3;2692,,,,,,,,,,,,,,,,,,,,,,
3cd6687a-26fe-102b-80cb-0017a47871b2,,2 TO 3 HOURS,,,,Time range 2 to 3 hours,Misc,Text,,,982.0,,982,,,,,,,,,,,,,,,,,,,,,,
3cd72e18-26fe-102b-80cb-0017a47871b2,,2 TO 3 TIMES A WEEK,,,,Time range which is between two and three times a week.,Misc,Text,,,1093.0,,1093,,,,,,,,,,,,,,,,,,,,,,
3cd72c88-26fe-102b-80cb-0017a47871b2,,2 TO 4 TIMES A MONTH,,,,Time range which is between two to four times a month.,Misc,Text,,,1092.0,,1092,,,,,,,,,,,,,,,,,,,,,,
6d1ccdbe-c253-43ed-ab24-0004ef5093bc,,2 month,,,,2 month,State,Text,,,111525.0,,,,,,,,,,,,,,,,,,,,,,,,
9a6b5bd9-1d56-44fc-a80d-7b7e7fa719e0,,2.0 - 2.5,,2.0 - 2.5,,INR Range,Misc,Text,,,6291.0,,2.0 - 2.5;6291,,,,,,,,,,,,,,,,,,,,,,
bc675a59-f7ce-4355-a946-6807b83bba48,,2.5 - 3.0 ,,2.5 - 3.0,,,Misc,Text,,,6292.0,,2.5 - 3.0;6292,,,,,,,,,,,,,,,,,,,,,,
6fead0f6-42fb-431e-baf5-5b8316ac6691,,2/day x 1 days/week,,,,,Frequency,Text,,,111436.0,,,,,,,,,,,,,,,,,,,,,,,,
0e0722d4-d5cf-4339-a76a-33a30e6cc2f5,,2/day x 2 days/week,,,,,Frequency,Text,,,111437.0,,,,,,,,,,,,,,,,,,,,,,,,
b9457b6e-407a-4adf-a886-7900fddbe1d0,,2/day x 3 days/week,,,,,Frequency,Text,,,111438.0,,,,,,,,,,,,,,,,,,,,,,,,
84363ce1-2d63-4866-bfcb-80dbf8b8ac3e,,2/day x 4 days/week,,,,,Frequency,Text,,,111439.0,,,,,,,,,,,,,,,,,,,,,,,,
fe2651f2-b65a-4680-b7f8-3542bd23413d,,2/day x 5 days/week,,,,,Frequency,Text,,,111440.0,,,,,,,,,,,,,,,,,,,,,,,,
b25d698c-b552-42b6-b520-a345f3b4b393,,2/day x 6 days/week,,,,,Frequency,Text,,,111441.0,,,,,,,,,,,,,,,,,,,,,,,,
3d89e5de-69c6-4c7e-a866-47b42d4a4c9b,,24kcal/30ml,,,,24kcal/30ml,Finding,Text,,,110947.0,,,,,,,,,,,,,,,,,,,,,,,,
6ba1b7da-25ef-4491-a4d8-379fc11db584,,26kcal/30ml,,,,26kcal/30ml,Finding,Text,,,110936.0,,,,,,,,,,,,,,,,,,,,,,,,
3ce13bec-26fe-102b-80cb-0017a47871b2,,2RHEZ / 4RH,2RHEZ/4RH,,,Standard firstline TB regimen for adults,Misc,Text,,,2125.0,,2125;2RHEZ / 4RH,,,,,,,,,,,,,,,,,,,,,,
3ce13a70-26fe-102b-80cb-0017a47871b2,,2RHZ / 4RH,2RHZ/4RH,,,Regular TB schema for young children under 6,Misc,Text,,,2124.0,,2124;2RHZ / 4RH,,,,,,,,,,,,,,,,,,,,,,
3ce13d68-26fe-102b-80cb-0017a47871b2,,2S+RHEZ / 1RHEZ / 5RH+E,2RHEZS/1RHEZ/5RHE,,,"TB retreatment regimen, used in Rwanda (and perhaps other places)",Misc,Text,,,2126.0,,2126;2S+RHEZ / 1RHEZ / 5RH+E,,,,,,,,,,,,,,,,,,,,,,
8fc0d105-46e4-4f90-a167-7e5e54434739,,2nd Line regimen,,Regime 2eme Ligne,,2nd Line regimen,State,Text,,,11047.0,,,,,,,,,,,,,,,,,,,,,,,,
7f5da809-6f39-41ef-a0fb-8e1972359f32,,2nd degree laceration,,Déchirure du 2ème degré,,2nd degree laceration,Diagnosis,Text,,,8182.0,,,,,,,,,,,,,,,O70.1,,,,,,,,,
ed34b78a-e029-4711-a2a0-7cad6160c89c,,3,,,,"grading system, describing degree of finding.",Finding,Numeric,,,3887.0,,3;3887,,,,,,,,,,,,,,,,,,,,,,
37b6b8a7-e6b9-4d9d-8290-5cbed38f309d,,3 months,,,,3 months,State,Text,,,111455.0,,,,,,,,,,,,,,,,,,,,,,,,
ae5349cd-c932-4296-a842-b117dd83ee44,,"3 postnatal care visits in the first 6 weeks: at 3 days, 7-14 days, and 6 weeks",,,,"3 postnatal care visits in the first 6 weeks: at 3 days, 7-14 days, and 6 weeks",Finding,Text,,,110751.0,,,,,,,,,,,,,,,,,,,,,,,,
3ce3ce16-26fe-102b-80cb-0017a47871b2,,3-4 TIMES/WK,,,,,Misc,Text,,,2401.0,,2401;3-4 TIMES/WK,,,,,,,,,,,,,,,,,,,,,,
3ce10db6-26fe-102b-80cb-0017a47871b2,,3-4 WEEKS AGO,,,,3-4 weeks ago,Misc,Text,,,2104.0,,2104;3-4 WEEKS AGO,,,,,,,,,,,,,,,,,,,,,,
a56b8996-bf2a-4498-8c0c-36bd34e7474c,,3.0 - 3.5,,3.0 - 3.5,,INR range,Test,Numeric,,,6293.0,,3.0 - 3.5;6293,,,,,,,,,,,,,,,,,,,,,,
db48aff6-dd4c-31a3-37c8-76d159137871,,3.5MM SS 1/3 TUBULAR PLATE,,,,3.5MM SS 1/3 TUBULAR PLATE,Misc,Numeric,,,158534.0,,,,,,,,,,,,,,,,,,,,,,,,
1cfc1f15-92f6-2590-544d-d15c3c29175d,,3.5MMCORTICAL SCREWS ,,,,3.5MMCORTICAL SCREWS ,Misc,Numeric,,,158535.0,,,,,,,,,,,,,,,,,,,,,,,,
4a0f148f-1af1-4c72-802f-fe6d51a2e690,,3/day x 1 days/week,,,,,Frequency,Text,,,111442.0,,,,,,,,,,,,,,,,,,,,,,,,
7180ca26-e287-4c3d-94d3-27d2e3626fc0,,3/day x 2 days/week,,,,,Frequency,Text,,,111443.0,,,,,,,,,,,,,,,,,,,,,,,,
64a0c4f0-938b-4b8c-9ef3-7f843ca19ae0,,3/day x 3 days/week,,,,,Frequency,Text,,,111444.0,,,,,,,,,,,,,,,,,,,,,,,,
c66aefef-0b89-49ab-901f-c8c43c0a61ec,,3/day x 4 days/week,,,,,Frequency,Text,,,111445.0,,,,,,,,,,,,,,,,,,,,,,,,
792d9564-81f2-49d0-95d8-8a54ca7384e3,,3/day x 5 days/week,,,,,Frequency,Text,,,111446.0,,,,,,,,,,,,,,,,,,,,,,,,
e9f872a2-c25a-4c20-8c71-689a4a303333,,3/day x 6 days/week,,,,,Frequency,Text,,,111447.0,,,,,,,,,,,,,,,,,,,,,,,,
3cd6d8dc-26fe-102b-80cb-0017a47871b2,,30 TO 60 MINUTES,,,,Time range which is between thirty and sixty minutes.,Misc,Text,,,1050.0,,1050;30 TO 60 MINUTES,,,,,,,,,,,,,,,,,,,,,,
3d8cdb75-d07d-47af-9def-0e397c5fb4d9,,3rd Line Regimen,,Regime 3eme Ligne,,3rd Line Regimen,State,Text,,,11048.0,,,,,,,,,,,,,,,,,,,,,,,,
bafa2b0b-9157-4a49-9420-8109b906e149,,3rd degree laceration,,Déchirure du 3ème degré,,3rd degree laceration,Diagnosis,Text,,,8183.0,,,,,,,,,,,,,,,O70.2,,,,,,,,,
772c4100-270c-49d4-873a-ffec0bbef3d3,,4,,,,"grading system, describing degree of finding.",Finding,Numeric,,,3888.0,,3888;4,,,,,,,,,,,,,,,,,,,,,,
9c36ce7e-30c5-4522-864d-44626df7ea52,,4 Consultations prenatales pour la derniere grossesse,,,,4 Consultations prenatales pour la derniere grossesse,Misc,Text,,,13621.0,,,,,,,,,,,,,,,,,,,,,,,,
3cd72fb2-26fe-102b-80cb-0017a47871b2,,4 TO 5 TIMES A WEEK,,,,Time range which is between four and five times a week.,Misc,Text,,,1094.0,,1094,,,,,,,,,,,,,,,,,,,,,,
94915c48-590e-49ea-b682-e411f5b14137,,4 month,,,,4 month,State,Text,,,111526.0,,,,,,,,,,,,,,,,,,,,,,,,
58a08e07-f21d-11ea-ba0d-0242ac110002,,4/day x 1 days/week,,,,,Frequency,Text,,,111448.0,,,,,,,,,,,,,,,,,,,,,,,,
2801b7a6-d5e7-41ae-8cfc-6797f66b1353,,4/day x 5 days/week,,,,,Frequency,Text,,,111449.0,,,,,,,,,,,,,,,,,,,,,,,,
9277f50e-5c73-726e-eb56-db2bbd704459,,4MM LOCKING SCREWS,,,,4MM LOCKING SCREWS,Misc,Numeric,,,158536.0,,,,,,,,,,,,,,,,,,,,,,,,
1bd61bd1-064b-4fa6-9f17-7acfadd90e68,,4th degree laceration,,Déchirure du 4ème degré,,4th degree laceration,Diagnosis,Text,,,8186.0,,,,,,,,,,,,,,,O70.3,,,,,,,,,
ccb48ce8-4045-4198-860c-8514aab27d56,,5 month,,,,5 month,State,Text,,,111527.0,,,,,,,,,,,,,,,,,,,,,,,,
faf64f35-cb71-4b0a-990c-cd610940afdf,,5-FLUOROURACYL,,5-FLUOROURACYL,,,Drug,Text,,,7406.0,,,,,,,,,,,,,,,,,,,,,,,,
d41972c0-5b4d-434b-98df-45a08c949441,,6 MERCAPTOPURINE,,6 MERCAPTOPURINE,,6 MERCAPTOPURINE,Drug,Text,,,9152.0,,,,,,,,,,,,,,,,,,,,,,,,
3cd73138-26fe-102b-80cb-0017a47871b2,,6 OR MORE TIMES A WEEK,,,,Time range which is greater than or equal to six times per week.,Misc,Text,,,1095.0,,1095,,,,,,,,,,,,,,,,,,,,,,
eb0caf97-e9f0-4db6-a7f9-f15875169700,,6 months,,,,6 months,State,Text,,,111456.0,,,,,,,,,,,,,,,,,,,,,,,,
aa97d03f-4f9b-4627-8147-8d6dd72d2013,,6 weeks completed,,6 semaines completee,,"This could be used for general use, but represents that HIV prophylaxis was used for 6 weeks and completed.",Misc,Text,,,13199.0,,6 weeks completed;6997,,,,,,,,,,,,,,,,,,,,,,
70039AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,6-Mercaptopurine,,,,,Drug,Text,,,13145.0,103;7648;Mercaptopurine,,,,,,,,,1039008,,,,,,,,,,,,,,
6fc6073c-ac41-498d-8c27-e09979c377d6,,7 months,,,,7 months,State,Text,,,111528.0,,,,,,,,,,,,,,,,,,,,,,,,
24a7bf39-350e-45ec-b0fd-28c0645f9a1e,,7/day x 5 days/week,,,,,Frequency,Text,,,111450.0,,,,,,,,,,,,,,,,,,,,,,,,
3e2f29f7-2536-4ed0-bd32-37a1f98a518f,,7268,,7268,,7268,Drug,Text,,,9402.0,,,,,,,,,,,,,,,,,,,,,,,,
26dccac3-4927-4977-81b4-1d0e2c06b9d1,,8 months,,,,8 months,State,Text,,,111529.0,,,,,,,,,,,,,,,,,,,,,,,,
6fcef4fe-73bc-47c9-bb49-e08fe0fb0d39,,801=Year,,,,801=Year,Question,Numeric,,,111491.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
fb6fca57-d9d8-4652-91f9-c308653e026e,,802=Month,,,,802=Month,Question,Numeric,,,111492.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
884c9f98-e59c-4188-ba7e-2fc1ede2b59f,,803=Week,,,,803=Week,Question,Numeric,,,111493.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
62c0a504-2eba-4605-85fb-1b0d227a493e,,804=Day,,,,804=Day,Question,Numeric,,,111494.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
ff6e0110-5981-43d9-a87a-83b33371db11,,805=Hour,,,,805=Hour,Question,Numeric,,,111495.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
2c7e04da-9977-453d-8392-e3f262994abf,,806 Minute,,,,806 Minute,Question,Numeric,,,111496.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
0eae2b19-323f-4be6-95d8-1d69bd335ae4,,9 months,,,,9 months,State,Text,,,111530.0,,,,,,,,,,,,,,,,,,,,,,,,
80ad84a4-202c-4bae-8773-1142db218c78,,<24h of life,,,,,Finding,Text,,,157702.0,,,,,,,,,,,,,,,,,,,,,,,,
98603d0f-2f25-493b-aa66-6692266d8892,,>24h of life,,,,,Finding,Text,,,157603.0,,,,,,,,,,,,,,,,,,,,,,,,
e2eeab99-9f1f-4d0a-a62b-6089766d5380,,>= 60 breaths/min,,,,>= 60 breaths/min,Finding,N/A,,,157609.0,,,,,,,,,,,,,,,,,,,,,,,,
44901584-10eb-489f-ae0d-f813e59b60c5,,A,,,,A,Diagnosis,Text,,,8215.0,,,,,,,,,,,,,,,,,,,,,,,,
3cdef260-26fe-102b-80cb-0017a47871b2,,A GOOD BIT OF THE TIME,,,,,Misc,Text,,,1896.0,,1896;A GOOD BIT OF THE TIME,,,,,,,,,,,,,,,,,,,,,,
3ce26dc8-26fe-102b-80cb-0017a47871b2,,A LITTLE BETTER,,,,,State,Text,,,2265.0,,2265;A LITTLE BETTER,,,,,,,,,,,,,,,,,,,,,,
3cdf0106-26fe-102b-80cb-0017a47871b2,,A LITTLE BIT,,,,,Misc,Text,,,1906.0,,1906;A LITTLE BIT,,,,,,,,,,,,,,,,,,,,,,
3ce20d4c-26fe-102b-80cb-0017a47871b2,,A LITTLE OF THE TIME,,,,,Misc,Text,,,2253.0,,2253;A LITTLE OF THE TIME,,,,,,,,,,,,,,,,,,,,,,
3ce27020-26fe-102b-80cb-0017a47871b2,,A LITTLE WORSE,,,,,State,Text,,,2266.0,,2266;A LITTLE WORSE,,,,,,,,,,,,,,,,,,,,,,
3cdffc3c-26fe-102b-80cb-0017a47871b2,,A LOT,,,,A lot,Misc,Text,,,2011.0,,2011;A LOT,,,,,,,,,,,,,,,,,,,,,,
3cd39686-26fe-102b-80cb-0017a47871b2,,A NEGATIVE,,,,"Describes a particular antigen combination on the surface of red blood cells: A, Rh negative.",Finding,Text,,,692.0,,692;A NEGATIVE,,,,,,,,,,,,,,,,,,,,,,
3cd392b2-26fe-102b-80cb-0017a47871b2,,A POSITIVE,,,,"Describes a particular antigen combination on the surface of red blood cells: A, Rh positive.",Finding,Text,,,690.0,,690;A POSITIVE,,,,,,,,,,,,,,,,,,,,,,
ff88f986-d473-4210-a643-e8873e091782,,A follow-up plan is clearly communicated,,,,A follow-up plan is clearly communicated,Finding,Coded,YES;NO,,110697.0,,,,,,,,,,,,,,,,,,,,,,,,
af94fba7-43eb-4fed-a932-384b61443b53,,A usage général,,A usage général,,A usage général,Consumable,Text,,antivenoms;Antirougeoleux;BACILLE CAMILE-GUERIN VACCINATION;Vaccin antipoliomyélitique;DTP-HepB + Hib;T.T(antitetanique),9598.0,,,,,,,,,,,,,,,,,,,,,,,,
