uuid,Void/Retire,Fully specified name:en,Short name:en,Fully specified name:fr,Short name:fr,Description:en,Data class,Data type,Answers,Members,Mappings|SAME-AS|PIH,Mappings|NARROWER-THAN|PIH,Mappings|SAME-AS|CBS,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|NARROWER-THAN|Rwanda HMIS Report 2012 01 20,Mappings|NARROWER-THAN|RWCS,Mappings|SAME-AS|RxNORM,Mappings|NARROWER-THAN|RxNORM,Mappings|SAME-AS|SNOMED CT,Mappings|NARROWER-THAN|SNOMED CT,Mappings|NARROWER-THAN|RSMS,Mappings|SAME-AS|ICPC-2,Mappings|SAME-AS|ICD-10,Mappings|NARROWER-THAN|ICD-10,Mappings|BROADER-THAN|ICD-10,Absolute high,Critical high,Normal high,Absolute low,Normal low,Units,Allow decimals,Complex data handler
1e1ed5e6-2393-11ed-86fe-3acf1f83574b,,"Acquiring, keeping and terminating a job - SUD",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1e00b82e-2393-11ed-86fe-3acf1f83574b,,Acquisition of goods and services - SND,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1dfec121-2393-11ed-86fe-3acf1f83574b,,"Acquisition of necessities, not elsewhere classified - SN2",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1ff77508-2393-11ed-86fe-3acf1f83574b,,"Action, unspecified - ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1fa01803-2393-11ed-86fe-3acf1f83574b,,Acupressure - SB,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f41e303-2393-11ed-86fe-3acf1f83574b,,Acupressure to finger - PME.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f5510ea-2393-11ed-86fe-3acf1f83574b,,Acupressure to foot - PND.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f366409-2393-11ed-86fe-3acf1f83574b,,Acupressure to forearm - PMC.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3c3220-2393-11ed-86fe-3acf1f83574b,,Acupressure to hand - PMD.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4ea87f75-2393-11ed-86fe-3acf1f83574b,,Acupressure to head or neck - PAB.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f5081dc-2393-11ed-86fe-3acf1f83574b,,Acupressure to lower leg - PNC.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f48bf40-2393-11ed-86fe-3acf1f83574b,,Acupressure to lower limb - PNA.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f4d2abb-2393-11ed-86fe-3acf1f83574b,,Acupressure to thigh - PNB.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4eb0ae45-2393-11ed-86fe-3acf1f83574b,,Acupressure to thorax - PAE.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f5fbe7e-2393-11ed-86fe-3acf1f83574b,,Acupressure to toe - PNE.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4e9d454f-2393-11ed-86fe-3acf1f83574b,,Acupressure to trunk - PAA.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f32befc-2393-11ed-86fe-3acf1f83574b,,Acupressure to upper arm - PMB.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f2e4ee0-2393-11ed-86fe-3acf1f83574b,,Acupressure to upper limb - PMA.SB.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4fb6a9bb-2393-11ed-86fe-3acf1f83574b,,"Acupressure, not elsewhere classified - PZX.SB.AH",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1faba26b-2393-11ed-86fe-3acf1f83574b,,Acupuncture - SP,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4fbb7208-2393-11ed-86fe-3acf1f83574b,,"Acupuncture, not elsewhere classified, external - PZX.SP.AH",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4fba6a4c-2393-11ed-86fe-3acf1f83574b,,"Acupuncture, not elsewhere classified, percutaneous - PZX.SP.AE",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1ee3fc31-2393-11ed-86fe-3acf1f83574b,,"Additional environmental industries and products, unspecified - UG1",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1c10a74f-2393-11ed-86fe-3acf1f83574b,,Additional functions of the respiratory system - JTG,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1b31c587-2393-11ed-86fe-3acf1f83574b,,Adenoid - DAB,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
2490a5a6-2393-11ed-86fe-3acf1f83574b,,Adenoidectomy - DAB.JK.AC,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
245baf02-2393-11ed-86fe-3acf1f83574b,,Adjustment of cochlear prosthetic device - CCB.SM.AH,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
37a1270f-2393-11ed-86fe-3acf1f83574b,,Adjustment of external device or appliance of zygoma - MAC.SM.AH,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
31be53be-2393-11ed-86fe-3acf1f83574b,,Adjustment of internal device of stomach via laparotomy - KBF.SN.AA,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
242d4fc7-2393-11ed-86fe-3acf1f83574b,,"Adjustment of prosthetic device of the middle ear, not elsewhere classified - CBA.SM.AC",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f822342-2393-11ed-86fe-3acf1f83574b,,"Administering nutritional requirements, other - PZA.DA.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f87f748-2393-11ed-86fe-3acf1f83574b,,"Administering pharmacotherapy, not elsewhere classified - PZA.DB.AZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f8322de-2393-11ed-86fe-3acf1f83574b,,"Administering pharmacotherapy, per orifice - PZA.DB.AC",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f845a21-2393-11ed-86fe-3acf1f83574b,,"Administering pharmacotherapy, per orifice endoscopic - PZA.DB.AD",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f85634c-2393-11ed-86fe-3acf1f83574b,,"Administering pharmacotherapy, percutaneous - PZA.DB.AE",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4f865633-2393-11ed-86fe-3acf1f83574b,,"Administering pharmacotherapy, percutaneous transluminal - PZA.DB.AF",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
26c70138-2393-11ed-86fe-3acf1f83574b,,Adrenal angiography - EBC.BA.BB,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1b4dbde8-2393-11ed-86fe-3acf1f83574b,,Adrenal gland - EBC,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
26d4fc25-2393-11ed-86fe-3acf1f83574b,,Adrenalectomy - EBC.JK.AA,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
23c5cdb3-2393-11ed-86fe-3acf1f83574b,,Advancement of extraocular muscle - BDA.LK.AA,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
6382f294-2393-11ed-86fe-3acf1f83574b,,Advice in relation to agriculture - UGR.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
62befdc1-2393-11ed-86fe-3acf1f83574b,,Advice in relation to chemicals and chemical products - UGL.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
61b70d2e-2393-11ed-86fe-3acf1f83574b,,Advice in relation to coal and coke - UGD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
6309f8fe-2393-11ed-86fe-3acf1f83574b,,Advice in relation to construction of buildings - UGN.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
62136001-2393-11ed-86fe-3acf1f83574b,,Advice in relation to electricity generation and supply - UGF.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
63da042f-2393-11ed-86fe-3acf1f83574b,,Advice in relation to electronic products - UGT.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
6121afa8-2393-11ed-86fe-3acf1f83574b,,"Advice in relation to environmental industries and products, unspecified - UG1.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
61476e19-2393-11ed-86fe-3acf1f83574b,,Advice in relation to extraction of crude petroleum and natural gas - UGA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
623a3088-2393-11ed-86fe-3acf1f83574b,,Advice in relation to gas production and supply - UGG.TA.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
62a12e6d-2393-11ed-86fe-3acf1f83574b,,Advice in relation to manufacture of chemicals and chemical products - UGK.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
619366d4-2393-11ed-86fe-3acf1f83574b,,Advice in relation to manufacture of coke and refined petroleum products - UGC.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
616e2185-2393-11ed-86fe-3acf1f83574b,,Advice in relation to mining of coal and lignite - UGB.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
63fcfef6-2393-11ed-86fe-3acf1f83574b,,Advice in relation to motor vehicles - UGU.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
635f07e5-2393-11ed-86fe-3acf1f83574b,,Advice in relation to non-residential buildings - UGQ.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
625a135c-2393-11ed-86fe-3acf1f83574b,,Advice in relation to nuclear fuel - UGH.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
61d157b3-2393-11ed-86fe-3acf1f83574b,,Advice in relation to refined petroleum products - UGE.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
627fbdb5-2393-11ed-86fe-3acf1f83574b,,Advice in relation to renewable energy sources - UGJ.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
633a9335-2393-11ed-86fe-3acf1f83574b,,Advice in relation to residential buildings - UGP.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
62e116a9-2393-11ed-86fe-3acf1f83574b,,Advice in relation to rubber and plastics products - UGM.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
63b6a57b-2393-11ed-86fe-3acf1f83574b,,Advice in relation to wastes or scraps - UGS.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1f948574-2393-11ed-86fe-3acf1f83574b,,Advising - PN,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5b696b-2393-11ed-86fe-3acf1f83574b,,Advising about acquiring a place to live - SNC.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
52571903-2393-11ed-86fe-3acf1f83574b,,Advising about acquiring skills - SBQ.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea748c9-2393-11ed-86fe-3acf1f83574b,,"Advising about acquiring, keeping and terminating a job - SUD.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d6c309b-2393-11ed-86fe-3acf1f83574b,,Advising about acquisition of goods and services - SND.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d512640-2393-11ed-86fe-3acf1f83574b,,"Advising about acquisition of necessities, not elsewhere classified - SN2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
643eece4-2393-11ed-86fe-3acf1f83574b,,Advising about alcohol use behaviours - VAA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
302f6dea-2393-11ed-86fe-3acf1f83574b,,Advising about alternative vocalisation functions - JUG.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
52620072-2393-11ed-86fe-3acf1f83574b,,"Advising about applying knowledge, not elsewhere classified - SC2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
3019d203-2393-11ed-86fe-3acf1f83574b,,Advising about articulation functions - JUD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5fe5dd3c-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of buildings for private use - UAL.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5fe26a0a-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of buildings for public use - UAK.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
602316b5-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of climate - UBE.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
6013ba38-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of features of bodies of water - UBB.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
601cb547-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of flora and fauna - UBD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
602782d3-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of light - UBH.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5ff8ae8c-2393-11ed-86fe-3acf1f83574b,,"Advising about aspects of natural environment and human-made changes to environment, unspecified - UB1.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
600e7a5f-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of physical features of land forms - UBA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
602b04a8-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of sound - UBJ.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
602e623e-2393-11ed-86fe-3acf1f83574b,,Advising about aspects of vibration - UBK.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5ff5e632-2393-11ed-86fe-3acf1f83574b,,Advising about assets - UAO.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5dc6d51a-2393-11ed-86fe-3acf1f83574b,,Advising about assisting others - SPD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
21a01af2-2393-11ed-86fe-3acf1f83574b,,Advising about attention functions - AUA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
60a73987-2393-11ed-86fe-3acf1f83574b,,"Advising about attitudes, unspecified - UD1.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
214733a1-2393-11ed-86fe-3acf1f83574b,,Advising about awareness and alertness functions - ATC.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
500bc301-2393-11ed-86fe-3acf1f83574b,,"Advising about basic learning, not elsewhere classified - SB2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
673e6168-2393-11ed-86fe-3acf1f83574b,,Advising about behaviours related to psychological health and wellbeing - VEL.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
66ec0b41-2393-11ed-86fe-3acf1f83574b,,Advising about breastfeeding behaviours - VEH.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
224f25ca-2393-11ed-86fe-3acf1f83574b,,Advising about calculations functions - AUJ.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5cee39fb-2393-11ed-86fe-3acf1f83574b,,Advising about caring for body parts - SMC.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5db81aa8-2393-11ed-86fe-3acf1f83574b,,Advising about caring for household objects - SPA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5da5a492-2393-11ed-86fe-3acf1f83574b,,"Advising about caring for the household objects and assisting others, not elsewhere classified - SP2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
52d8fd05-2393-11ed-86fe-3acf1f83574b,,Advising about carrying out daily routine - SDG.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7a9611-2393-11ed-86fe-3acf1f83574b,,"Advising about carrying out household tasks, not elsewhere classified - SO2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5c445ed6-2393-11ed-86fe-3acf1f83574b,,"Advising about carrying, moving and handling objects, not elsewhere classified - SI2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5c2542cb-2393-11ed-86fe-3acf1f83574b,,Advising about changing body position - SHA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
60f64ab2-2393-11ed-86fe-3acf1f83574b,,"Advising about communication services, systems and policies - UEG.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6f1653-2393-11ed-86fe-3acf1f83574b,,"Advising about communication, unspecified - SE1.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
50213deb-2393-11ed-86fe-3acf1f83574b,,Advising about copying - SBA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
52ae73f0-2393-11ed-86fe-3acf1f83574b,,Advising about decision making - SCL.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
34ddcb37-2393-11ed-86fe-3acf1f83574b,,Advising about defaecation functions - KTK.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
64de73d4-2393-11ed-86fe-3acf1f83574b,,Advising about digital technology use behaviours - VAF.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d999452-2393-11ed-86fe-3acf1f83574b,,Advising about doing housework - SOD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d0841aa-2393-11ed-86fe-3acf1f83574b,,Advising about dressing - SME.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d21b3dd-2393-11ed-86fe-3acf1f83574b,,Advising about drinking - SMG.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5cbc25e8-2393-11ed-86fe-3acf1f83574b,,Advising about driving - SKD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d173990-2393-11ed-86fe-3acf1f83574b,,Advising about eating - SMF.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
66191126-2393-11ed-86fe-3acf1f83574b,,Advising about eating behaviours - VEA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
610fd054-2393-11ed-86fe-3acf1f83574b,,"Advising about education and training services, systems and policies - UEQ.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
22163c91-2393-11ed-86fe-3acf1f83574b,,Advising about emotional functions - AUD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
26f09dab-2393-11ed-86fe-3acf1f83574b,,Advising about endocrine gland functions - ETK.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
217cc5ac-2393-11ed-86fe-3acf1f83574b,,Advising about energy and drive functions - ATI.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea220d3-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in apprenticeship - SUA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5ed27977-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in basic economics transactions - SVA.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5df2a2aa-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in basic interpersonal interactions - SRC.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5ef26861-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in community life - SXB.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee5da10-2393-11ed-86fe-3acf1f83574b,,"Advising about engaging in community, social and civic life, unspecified - SX1.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5dff183b-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in complex interpersonal interactions - SRD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5d3df289-2393-11ed-86fe-3acf1f83574b,,"Advising about engaging in domestic life, unspecified - SN1.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5ec1da4e-2393-11ed-86fe-3acf1f83574b,,"Advising about engaging in economic life, not elsewhere classified - SV2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5edab86d-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in economic self-sufficiency - SVG.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5e94683e-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in education life - STJ.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5e594bdc-2393-11ed-86fe-3acf1f83574b,,"Advising about engaging in education, not elsewhere classified - ST2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5e2e7647-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in family relationships - SSJ.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5e18e1e4-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in formal relationships - SSD.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5de65728-2393-11ed-86fe-3acf1f83574b,,"Advising about engaging in general interpersonal interactions, not elsewhere classified - SR2.PN.ZZ",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8de47b-2393-11ed-86fe-3acf1f83574b,,Advising about engaging in higher education - STG.PN.ZZ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
