uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,Mappings|SAME-AS|PIH,Mappings|NARROWER-THAN|PIH,Mappings|SAME-AS|CBS,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|NARROWER-THAN|Rwanda HMIS Report 2012 01 20,Mappings|NARROWER-THAN|RWCS,Mappings|SAME-AS|RxNORM,Mappings|NARROWER-THAN|RxNORM,Mappings|SAME-AS|SNOMED CT,Mappings|NARROWER-THAN|SNOMED CT,Mappings|NARROWER-THAN|RSMS,Mappings|SAME-AS|ICPC-2,Mappings|SAME-AS|ICD-10,Mappings|NARROWER-THAN|ICD-10,Mappings|BROADER-THAN|ICD-10,Absolute high,Critical high,Normal high,Absolute low,Normal low,Units,Allow decimals,Complex data handler
e2665257-90d4-4ec8-ac60-2f8823aa3165,,ABACAVIR LAMIVUDINE NEVIRAPINE,,ABACAVIR LAMIVUDINE NEVIRAPINE,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
69c4c7f0-79f2-4a39-bad8-148919d05a8d,,ZIDOVUDINE LAMIVUDINE DOLUTEGRAVIR,,ZIDOVUDINE LAMIVUDINE DOLUTEGRAVIR,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
89224b44-8180-4e76-a793-a1cbf074d6c6,,ABACAVIR LAMIVUDINE ATAZANAVIR,,ABACAVIR LAMIVUDINE ATAZANAVIR,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
18189687-9a4f-4fba-ad13-2c1a1c19f18a,,ABACAVIR LAMIVUDINE LOPRINAVIR,,ABACAVIR LAMIVUDINE LOPRINAVIR,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
40b41a69-3b86-4805-859d-57c385bf0a4b,,ABACAVIR LAMIVUDINE LOPRINAVIR,,ABACAVIR LAMIVUDINE LOPRINAVIR,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
92f47a50-8d10-4083-9d5b-1ca9db461c30,,Etravirine dolutegravir raltegravir,,Etravirine dolutegravir raltegravir,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
21cf5023-ae84-4ea4-b1c7-6851af1c7085,,Tenofovir lamivudine Etravirine dolutegravir raltegravir,,Tenofovir lamivudine Etravirine dolutegravir raltegravir,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
50477b52-2f42-451d-90c0-3eda3db50a73,,Keppra,,Keppra,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
76555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,FLUPENTHIXOL,,,Drug,Text,,,,,,,,,,,4495.0,321405002;321932004;96220002,,,,,,,,,,,,,,
34ea5cca-cbaf-4c83-a2c8-d8d61f81b209,,Citalopram,,Citalopram,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
40a7afa9-af99-4466-b9c1-68b2a7242899,,Risperidone,,Risperidone,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
e2b445ba-e46a-4974-851b-ce7d6c05a2a7,,Haldol Decanoate,,Haldol Decanoate,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
61d1bb4f-4907-4743-805f-d87116540237,,eLMIS Drug,,eLMIS Drug,Drug,Coded,,,,,,,,,,,,,,,,,,,,,,,,,,
a8bc4df0-1f87-4253-b0c8-f44f19e8cabd,,Anti-Tetanus Vaccination,Tetanus Vaccination,Anti-Tetanus Vaccination,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
0bd8cc98-0aec-4fa4-89b2-68a0748a1c0e,,Iron and folic acid,folic acid,Iron and folic acid,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
c804e8b0-6079-4da1-af4c-11dce396b3de,,Time Sirop,,Time Sirop,Drug,Time,,,,,,,,,,,,,,,,,,,,,,,,,,
4bfbabcd-d28e-455a-9d45-7e94f8b07b21,,GENTAMICIN (v2),GENTAMY,"Antibiotic (IV, topical) used for gram-negative infections.",Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
d8188100-a220-422a-8631-432cdc0be59b,,ANTIBIOTICS(V2),,Drugs used to prevent and treat infections from microorganisms,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
c52f3805-b606-49a0-a1df-7101499b0735,,Antihemorroidaire suppo,,,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
4baaa82a-7e8f-45c5-9667-71bb9fe2cd99,,Azytromycine,Azytromycine,Azytromycine,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
3f4fe55c-534f-47ae-ba80-3c8614e6717c,,Pommade icthyolee,,Pommade icthyolee,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
0f67d0b4-1b7d-42bf-9429-76c2e05bed89,,Vaccin antirabique,,Vaccin antirabique,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
24f46190-f114-4c12-8c25-e34d03c08248,,Zinc Oxyde Euginol,,Zinc Oxyde Euginol,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
a54890d7-39f6-4ebe-acb9-90af2ee211be,,TROPICAMIDE + PHENYLEPHRINE,,TROPICAMIDE + PHENYLEPHRINE,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
2344ec1b-1727-4350-849d-8c878dd4d3d7,,TT3 (MNCH),,,Drug,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
5c95c913-2d15-4640-8ded-0a6a6aaaff01,,TT2 (MNCH),,,Drug,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
10cb2549-1b78-4483-9d30-01807b8e61e8,,TT5 (MNCH),,,Drug,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
1ee10434-7442-4c6a-9de7-fa06e3f61145,,TT1 (MNCH),,,Drug,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
23e213d6-e7f9-4881-b0e3-950f8ae6de7c,,TT4 (MNCH),,,Drug,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
3ccc6b7c-26fe-102b-80cb-0017a47871b2,,DIPTHERIA TETANUS BOOSTER,,Vaccination against diptheria and tetanus (IM).,Drug,Text,,,,17;DIPTHERIA TETANUS BOOSTER,,,,,,,,,,,,,,,,,,,,,,
3ccc72ca-26fe-102b-80cb-0017a47871b2,,HEPATITIS A VACCINATION,HEPA,Vaccination against hepatitis A (IM).,Drug,Text,,,,22;HEPATITIS A VACCINATION,,,,,,,,,,,,,,,,,,,,,,
3ccc8774-26fe-102b-80cb-0017a47871b2,,MEASLES VACCINATION,,Vaccination against measles (IM).,Drug,Text,,,,36;MEASLES VACCINATION,,,,,,,,,,,,,,,,,,,,,,
3ccca1c8-26fe-102b-80cb-0017a47871b2,,TETANUS BOOSTER 1,,Booster vaccination against tetanus (1 - One).,Drug,Text,,,,54;TETANUS BOOSTER,,,,,54.0,,,,,,,,,,,,,,,,,
3cccd1e8-26fe-102b-80cb-0017a47871b2,,SULFADOXINE AND PYRIMETHAMINE,,Sulfa drug-pyrimethamine combinations are highly active blood schizonticides against P. falciparum but are less effective against other Plasmodium species.,Drug,Text,,,,87;SULFADOXINE AND PYRIMETHAMINE,,,,,,,,,,,,,,,,,,,,,,
3cccd35a-26fe-102b-80cb-0017a47871b2,,ASPIRIN,,"Drug used for pain relief, fever, and antiplatelet actions.",Drug,Text,,,,88;ASPIRIN,,,,,,,,,,,,,,,,,,,,,,
3cccd4d6-26fe-102b-80cb-0017a47871b2,,PARACETAMOL,,A crystalline compound C8H9NO2 that is a hydroxy derivative of acetanilide and is used in chemical synthesis and in medicine instead of aspirin to relieve pain and fever.,Drug,Text,,,,89;PARACETAMOL,,,,,,,,,,,,,,,,,,,,,,
3cccd7ba-26fe-102b-80cb-0017a47871b2,,TRIMETHOPRIM,,Antibiotic most often used for urinary tract infections.,Drug,Text,,,,91;TRIMETHOPRIM,,,,,,,,,,,,,,,,,,,,,,
3cccd95e-26fe-102b-80cb-0017a47871b2,,DAPSONE,,"Antiparasitic agent most often used for leprosy, malaria, and pneumocystis carinii pneumonia infections.",Drug,Text,,,,92;DAPSONE,,,,,,,,,,,,,,,,,,,,,,
3cccdc42-26fe-102b-80cb-0017a47871b2,,BETADINE,,Topical antiseptic used to sterilize skin for invasive procedures.,Drug,Text,,,,94;BETADINE,,,,,,,,,,,,,,,,,,,,,,
3cccddbe-26fe-102b-80cb-0017a47871b2,,DOXYCYCLINE,,A broad-spectrum tetracycline antibiotic C22H24N2O8 with potent antibacterial activity that is often taken by travelers as a prophylactic against diarrhea.,Drug,Text,,,,95;DOXYCYCLINE,,,,,,,,,,,,,,,,,,,,,,
3ccce426-26fe-102b-80cb-0017a47871b2,,MEFLOQUINE,,Antibiotic used in malaria prophylaxis and treatment.,Drug,Text,,,,96;MEFLOQUINE,,,,,,,,,,,,,,,,,,,,,,
3ccce598-26fe-102b-80cb-0017a47871b2,,PROGUANIL,,Antibiotic used in malaria prophylaxis and treatment.,Drug,Text,,,,97;PROGUANIL,,,,,,,,,,,,,,,,,,,,,,
3ccce714-26fe-102b-80cb-0017a47871b2,,CHLOROQUINE,,Antibiotic used in malaria prophylaxis and treatment.,Drug,Text,,,,98;CHLOROQUINE,,,,,,,,,,,,,,,,,,,,,,
3ccce886-26fe-102b-80cb-0017a47871b2,,FUROSEMIDE,,"A synthetic compound with a strong diuretic action, used especially in the treatment of oedema.Diuretic that works mainly upon the loop of Henle.",Drug,Text,,,,99;FUROSEMIDE,,,,,,,,,,,,,,,,,,,,,,
3ccce9f8-26fe-102b-80cb-0017a47871b2,,GENTAMICIN,,"Antibiotic (IV, topical) used for gram-negative infections.",Drug,Text,,,,100;GENTAMICIN,,,,,,,,,,,,,,,,,,,,,,
3cce7a20-26fe-102b-80cb-0017a47871b2,,CONDOMS,,Methods for preventing pregnancy.,Drug,Boolean,,,,190;CONDOMS,,,,,,,,,,,,,,,,,,,,,,
3ccec106-26fe-102b-80cb-0017a47871b2,,TINIDAZOLE,,Tinidazole is an anti-parasitic drug widely used throughout Europe and the Third World as treatment for a variety of amebic and parasitic infections.,Drug,Text,,,,235;TINIDAZOLE,,,,,,,,,,,,,,,,,,,,,,
3ccec426-26fe-102b-80cb-0017a47871b2,,METRONIDAZOLE,,"Metronidazole is an antibiotic especially effective against anaerobic infections.  In addition, it has anti-inflammatory properties in the large intestine and is a very effective anti-diarrhea medication.  It is an effective antibiotic against certain protozoal infections, especially Giardia.",Drug,Text,,,,237;METRONIDAZOLE,,,,,,,,,,,,,,,,,,,,,,
3ccec5de-26fe-102b-80cb-0017a47871b2,,PHENOBARBITAL,,"A barbiturate used to control epilepsy and as a sedative to relieve anxiety. It is also used for short-term treatment of insomnia. Anticonvulsant, recommended by the WHO as a first-line drug for partial and generalized tonic-clonic seizures.",Drug,Text,,,,238;PHENOBARBITAL,,,,,,,,,,,,,,,,,,,,,,
3cced1aa-26fe-102b-80cb-0017a47871b2,,AMODIAQUIN,,A compound C20H22ClN3O derived from quinoline and used in the form of its dihydrochloride as an antimalarial.,Drug,Text,,,,241;AMODIAQUIN,,,,,,,,,,,,,,,,,,,,,,
3cced524-26fe-102b-80cb-0017a47871b2,,QUININE,,"A salt of quinine used as an antipyretic, antimalarial, antiperiodic, and bitter tonic. A natural white crystalline alkaloid having analgesic and anti-inflammatory properties.",Drug,Text,,,,243;QUININE,,,,,,,,,,,,,,,,,,,,,,
3cced6b4-26fe-102b-80cb-0017a47871b2,,MEBENDAZOLE,,A broad-spectrum anthelmintic agent C16H13N3O3.,Drug,Text,,,,244;MEBENDAZOLE,,,,,,,,,,,,,,,,,,,,,,
3cced9d4-26fe-102b-80cb-0017a47871b2,,PIPERAZINE,,A crystalline heterocyclic base C4H10N2 or C4H10N2·6H2O used especially as an anthelmintic.,Drug,Text,,,,246;PIPERAZINE,,,,,,,,,,,,,,,,,,,,,,
3ccedb64-26fe-102b-80cb-0017a47871b2,,DIAZEPAM,,A synthetic tranquilizer C16H13ClN2O used especially to relieve anxiety and tension and as a muscle relaxant.,Drug,Text,,,,247;DIAZEPAM,,,,,,,,,,,,,,,,,,,,,,
3ccee00a-26fe-102b-80cb-0017a47871b2,,Nifédipine,,A calcium channel blocker C17H18N2O6 that is a coronary vasodilator used especially in the treatment of angina pectoris.,Drug,Text,,,,250;NIFEDIPINE,,,,,,,,,,,,,,,,,,,,,,
3ccee190-26fe-102b-80cb-0017a47871b2,,METHYLDOPA,,"Centrally acting alpha blocker, used as an antihypertensive drug C10H13NO4.",Drug,Text,,,,251;METHYLDOPA,,,,,,,,,,,,,,,,,,,,,,
3ccee64a-26fe-102b-80cb-0017a47871b2,,PROPRANOLOL,,"A beta-blocker C16H21NO2 used in the form of its hydrochloride in the treatment of hypertension, abnormal heart rhythms, heart failure and angina pectoris",Drug,Text,,,,254;PROPRANOLOL,,,,,,,,,,,,,,,,,,,,,,
3ccee960-26fe-102b-80cb-0017a47871b2,,FERROUS SULFATE,,An astringent iron salt obtained usually in pale green crystalline form FeSO4-7H2O and used in medicine chiefly for treating iron-deficiency anemia.,Drug,Text,,,,256;FERROUS SULFATE,,,,,,,,,,,,,,,,,,,,,,
3cceeaf0-26fe-102b-80cb-0017a47871b2,,FOLIC ACID,,"A crystalline vitamin C19H19N7O6 of the B complex that is required for normal production of red blood cells, that is used especially in the treatment of nutritional anemias, and that occurs especially in green leafy vegetables, liver, kidneys, dried beans, and mushrooms.",Drug,Text,,,,257;FOLIC ACID,,,,,,,,,,,,,,,,,,,,,,
3cceefc8-26fe-102b-80cb-0017a47871b2,,CHLORPROPRAMIDE,,"Oral hypoglycemic drug used to treat noninsulin-dependent diabetes, particularly in people whose diabetes cannot be controlled by diet alone. Chlorpropamide lowers blood sugar by stimulating the pancreas to secrete insulin and helping the body to use insulin efficiently.  Sulfonyl urea class.",Drug,Text,,,,260;CHLORPROPRAMIDE,,,,,,,,,,,,,,,,,,,,,,
3ccef496-26fe-102b-80cb-0017a47871b2,,INDOMETHACIN,,An NSAID C19H16ClNO4 with analgesic and antipyretic properties used especially to treat painful inflammatory conditions (as rheumatoid arthritis and osteoarthritis).,Drug,Text,,,,263;INDOMETHACIN,,,,,,,,,,,,,,,,,,,,,,
3ccef964-26fe-102b-80cb-0017a47871b2,,AMOXICILLIN,,A semisynthetic penicillin C16H19N3O5S derived from ampicillin.,Drug,Text,,,,265;AMOXICILLIN,,,,,,,,,,,,,,,,,,,,,,
3ccefbb2-26fe-102b-80cb-0017a47871b2,,Chloramphénicol,,A broad-spectrum antibiotic C11H12Cl2N2O5 isolated from cultures of a soil actinomycete of the genus Streptomyces (S. venezuelae) or prepared synthetically.,Drug,Text,,,,266;CHLORAMPHENICOL,,,,,,,,,,,,,,,,,,,,,,
3ccf017a-26fe-102b-80cb-0017a47871b2,,NALIDIXIC ACID,,An antibacterial agent C12H12N2O3 that is used especially in the treatment of genitourinary infections.,Drug,Text,,,,268;NALIDIXIC ACID,,,,,,,,,,,,,,,,,,,,,,
3ccf03f0-26fe-102b-80cb-0017a47871b2,,AMPICILLIN,,"A penicillin C16H19N3O4S that is effective against gram-negative and gram-positive bacteria and is used in anhydrous forms, as the trihydrate, or as the sodium salt to treat various infections of the urinary, respiratory, and intestinal tracts.",Drug,Text,,,,269;AMPICILLIN,,,,,,,,,,,,,,,,,,,,,,
3ccf0666-26fe-102b-80cb-0017a47871b2,,TETRACYCLINE,,"A penicillin C16H19N3O4S that is effective against gram-negative and gram-positive bacteria and is used in anhydrous forms, as the trihydrate, or as the sodium salt to treat various infections of the urinary, respiratory, and intestinal tracts.",Drug,Text,,,,270;TETRACYCLINE,,,,,,,,,,,,,,,,,,,,,,
3ccf08c8-26fe-102b-80cb-0017a47871b2,,LINCOMYCIN,,An antibiotic C18H34N2O6S obtained from an actinomycete of the genus Streptomyces (S. lincolnensis) and effective especially against gram-positive bacteria.,Drug,Text,,,,271;LINCOMYCIN,,,,,,,,,,,,,,,,,,,,,,
3ccf0b34-26fe-102b-80cb-0017a47871b2,,ERYTHROMYCIN,,"A broad-spectrum antibiotic C37H67NO13 produced by a bacterium of the genus Streptomyces (S. erythreus), resembling penicillin in antibacterial activity, and effective also against amebas, treponemata, and pinworms.",Drug,Text,,,,272;ERYTHROMYCIN,,,,,,,,,,,,,,,,,,,,,,
3ccf0d96-26fe-102b-80cb-0017a47871b2,,PHENYTOIN,DPH,A crystalline anticonvulsant compound C15H12N2O2 used in the form of its sodium salt in the treatment of epilepsy.,Drug,Text,,,,273;PHENYTOIN,,,,,,,,,,,,,,,,,,,,,,
3ccf1c1e-26fe-102b-80cb-0017a47871b2,,"INSULIN, LENTE",,A suspension of insulin for injection in a buffered solution containing zinc chloride in which forms of insulin which are relatively slowly and rapidly absorbed are in the approximate ratio of 3:7.,Drug,Text,,,,"279;INSULIN, LENTE",,,,,,,,,,,,,,,,,,,,,,
3ccf1e76-26fe-102b-80cb-0017a47871b2,,SOLUBLE INSULIN,,"reduced hyperglycemia, by injection, short acting",Drug,Text,,,,280;SOLUBLE INSULIN,,,,,,,,,,,,,,,,,,,,,,
0ad8ceac-15f5-102d-96e4-000c29c2a5d7,,"INSULIN, Regular",,A suspension of insulin for injection to supplement naturally produced insulin.  Acts within 1 to 3 hours of injection.,Drug,Text,,,,"282;INSULIN, Regular",,,,,,,,,,,,,,,,,,,,,,
3ccf275e-26fe-102b-80cb-0017a47871b2,,WHITFIELD OINTMENT,,An ointment that contains benzoic acid and salicylic acid and is used for its keratolytic effect in treating fungal skin diseases (as ringworm).,Drug,Text,,,,284;WHITFIELD OINTMENT,,,,,,,,,,,,,,,,,,,,,,
3ccf30be-26fe-102b-80cb-0017a47871b2,,HYDROCORTISONE,,adrenal hormone used for inflammatory or allergic states or Addisonian crisis,Drug,Text,,,,290;HYDROCORTISONE,,,,,,,,,,,,,,,,,,,,,,
3ccf5544-26fe-102b-80cb-0017a47871b2,,HYDROGEN PEROXIDE,,An unstable compound H2O2 used especially as an oxidizing and bleaching agent and as an antiseptic.,Drug,Text,,,,313;HYDROGEN PEROXIDE,,,,,,,,,,,,,,,,,,,,,,
3ccf56d4-26fe-102b-80cb-0017a47871b2,,MAGNESIUM TRISILICATE,,Antacid used to relieve acid indigestion and heartburn.,Drug,Text,,,,314;MAGNESIUM TRISILICATE,,,,,,,,,,,,,,,,,,,,,,
3ccf5d0a-26fe-102b-80cb-0017a47871b2,,ELYVATE CREAM,,topical antifungal to treat skin infections,Drug,Text,,,,318;ELYVATE CREAM,,,,,,,,,,,,,,,,,,,,,,
3ccf602a-26fe-102b-80cb-0017a47871b2,,GRABACIN POWDER,,topical antifungal agent to treat skin infections,Drug,Text,,,,320;GRABACIN POWDER,,,,,,,,,,,,,,,,,,,,,,
3ccf6502-26fe-102b-80cb-0017a47871b2,,GENTIAN VIOLET,,Topical solution often used as an antifungal.,Drug,Text,,,,323;GENTIAN VIOLET,,,,,,,,,,,,,,,,,,,,,,
3ccf6e62-26fe-102b-80cb-0017a47871b2,,VITAMIN B COMPLEX,,Supplement for vitmain deficiencies.,Drug,Text,,,,329;VITAMIN B COMPLEX,,,,,,,,,,,,,,,,,,,,,,
3ccf82f8-26fe-102b-80cb-0017a47871b2,,SULFALENE AND PYRAMETHAMINE,,Drug used in the treatment of malaria.,Drug,Text,,,,342;SULFALENE AND PYRAMETHAMINE,,,,,,,,,,,,,,,,,,,,,,
3ccf8c8a-26fe-102b-80cb-0017a47871b2,,NORFLOXACIN,,A fluoroquinolone C16H18FN3O3 used topically to treat conjunctivitis and orally to treat various bacterial infections (as of the urinary tract).,Drug,Text,,,,348;NORFLOXACIN,,,,,,,,,,,,,,,,,,,,,,
3ccf9144-26fe-102b-80cb-0017a47871b2,,ORAL REHYDRATION SALTS,,Used for electrolyte deplection and dehydration.,Drug,Text,,,,351;ORAL REHYDRATION SALTS,,,,,,,,,,,,,,,,,,,,,,
3ccfa3d2-26fe-102b-80cb-0017a47871b2,,DEXTROMETHORPHAN,,Anti-expectorant compound.,Drug,Text,,,,358;DEXTROMETHORPHAN,,,,,,,,,,,,,,,,,,,,,,
3ccffec2-26fe-102b-80cb-0017a47871b2,,BENZYL BENZOATE EMULSION,,Drug commonly used for scabies and head lice.,Drug,Text,,,,409;BENZYL BENZOATE EMULSION,,,,,,,,,,,,,,,,,,,,,,
3cd0032c-26fe-102b-80cb-0017a47871b2,,ARV,,anti-rabies vaccine,Drug,Text,,,,412;ARV,,,,,,,,,,,,,,,,,,,,,,
3cd00796-26fe-102b-80cb-0017a47871b2,,RABIES VACCINATION,RABIES,Anti-rabies vaccine.,Drug,Text,,,,413;RABIES VACCINATION,,,,,,,,,,,,,A82.9,,,,,,,,,
3cd0f91c-26fe-102b-80cb-0017a47871b2,,IMODIUM ,,A synthetic antidiarrheal agent C29H33ClN2O2 that slows intestinal peristalsis and is administered in the form of its hydrochloride to control acute nonspecific diarrhea or chronic diarrhea associated with inflammatory bowel disease or to reduce fecal volume discharged from ileostomies.,Drug,Text,,,,429;LOPERAMIDE,,,,,,,,,,,,,,,,,,,,,,
3cd0fc3c-26fe-102b-80cb-0017a47871b2,,HYOSCINE BUTYLBROMIDE,,Works by relaxing the involuntary muscle found in the walls of the stomach and intestines (gastrointestinal tract) and the genital organs and urinary tract (genitourinary tract).,Drug,Text,,,,431;HYOSCINE BUTYLBROMIDE,,,,,,,,,,,,,,,,,,,,,,
3cd10416-26fe-102b-80cb-0017a47871b2,,DICLOFENAC,,"A nonsteroidal anti-inflammatory drug used in the form of its sodium salt C14H10Cl2NNaO especially to treat the symptoms of rheumatoid arthritis, osteoarthritis, and ankylosing spondylitis.",Drug,Text,,,,436;DICLOFENAC,,,,,,,,,,,,,,,,,,,,,,
3cd10740-26fe-102b-80cb-0017a47871b2,,STREPTOMYCIN,S,"An antibiotic organic base C21H39N7O12 that is produced by a soil actinomycete of the genus Streptomyces (S. griseus), is active against bacteria, and is used especially in the treatment of infections (as tuberculosis) by gram-negative bacteria.",Drug,Text,,,,438;STREPTOMYCIN,,,,,,,,,,,,,,,,,,,,,,
3cd113fc-26fe-102b-80cb-0017a47871b2,,ALUMINUM HYDROXIDE,,Any of several white gelatinous or crystalline hydrates Al2O3·nH2O of alumina ; especially : one Al2O3·3H2O or Al(OH)3 used in medicine as an antacid.,Drug,Text,,,,446;ALUMINUM HYDROXIDE,,,,,,,,,,,,,,,,,,,,,,
3cd11582-26fe-102b-80cb-0017a47871b2,,FLOXACILLIN,,"A penicillinase-resistant, semisynthetic penicillin which has been used primarily in the treatment of infections due to benzylpenicillin-resistant staphylococci.",Drug,Text,,,,447;FLOXACILLIN,,,,,,,,,,,,,,,,,,,,,,
3cd11a3c-26fe-102b-80cb-0017a47871b2,,AMOXICILLIN AND CLAVULANIC ACID,AMX/CLV,A preparation of amoxicillin and the potassium salt of clavulanic acid to provide beta-lactam resistance.,Drug,Text,,,,450;AMOXICILLIN AND CLAVULANIC ACID,,,,,,,,,,,,,,,,,,,,,,
3cd12b94-26fe-102b-80cb-0017a47871b2,,MULTIVITAMIN,,Vitamin preparation containing several Vitamin types.,Drug,Text,,,,461;MULTIVITAMIN,,,,,,,,,,,,,,,,,,,,,,
3cd15ac4-26fe-102b-80cb-0017a47871b2,,PREDNISONE,,"A glucocorticoid C21H26O5 that is a dehydrogenated analog of cortisone and is used as an anti-inflammatory agent especially in the treatment of arthritis, as an antineoplastic agent, and as an immunosuppressant.",Drug,Text,,,,491;PREDNISONE,,,,,,,,,,,,,,,,,,,,,,
3cd15c4a-26fe-102b-80cb-0017a47871b2,,"ANTI-VENIN, SNAKE",,Antidote to a poisonous snake bite.,Drug,Text,,,,"492;ANTI-VENIN, SNAKE",,,,,,,,,,,,,,,,,,,,,,
3cd15e02-26fe-102b-80cb-0017a47871b2,,CALAMINE LOTION,,"A mixture of zinc oxide or zinc carbonate with a small amount of ferric oxide that is used in lotions, liniments, and ointments.  Often used to prevent itching.",Drug,Text,,,,493;CALAMINE LOTION,,,,,,,,,,,,,,,,,,,,,,
3cd162b2-26fe-102b-80cb-0017a47871b2,,CEFTRIAXONE,,A semisynthetic cephalosporin antibiotic C18H18N8O7S3 that is administered parenterally in the form of its sodium salt.,Drug,Text,,,,496;CEFTRIAXONE,,,,,,,,,,,,,,,,,,,,,,
3cd24984-26fe-102b-80cb-0017a47871b2,,STAVUDINE,d4T,A synthetic antiretroviral nucleoside (C10H12N2O4) that is an analog of thymidine and is administered orally in the treatment of HIV infection.,Drug,Text,,,,625;STAVUDINE,,,,,625.0,,,,,,,,,,,,,,,,,
